image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,cue.started,cue_1.started,cue.stopped,cue_1.stopped,probe.started,key_resp.started,probe.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,0.3,up,c,0,20,20,7,41.45385199999873,,,,,,,,,41.421059199998126,41.45385199999873,41.936527699999715,41.936527699999715,42.436574200000905,42.436574200000905,42.73659960000077,42.936114899999666,43.13647259999925,43.370506499999465,up,1,0.42145259999961127,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,21,21,11,43.40307960000064,,,,,,,,,43.37096439999732,43.40307960000064,43.886542199998075,43.886542199998075,44.38654619999943,44.38654619999943,44.686203999997815,44.88642339999933,45.08628119999776,45.37056909999956,down,1,0.47384600000077626,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Blushed Smiling Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,22,22,14,45.40224780000062,,,,,,,,,45.370949799998925,45.40224780000062,45.886594100000366,45.886594100000366,46.38640619999933,46.38640619999933,46.68635390000054,46.88631239999813,47.08653629999753,47.287297099999705,down,1,0.3854053999966709,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,0.3,up,ic,0,23,23,23,47.31956920000084,,,,,,,,,47.287722199998825,47.31956920000084,47.80320279999796,47.80320279999796,48.30302640000082,48.30302640000082,48.60289709999779,48.802553999998054,49.00296669999807,49.4376846999985,up,1,0.6338716999998724,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Happy Emoji [Download iPhone Emojis].png,0.3,up,ic,0,24,24,16,49.46960589999799,,,,,,,,,49.43815209999957,49.46960589999799,49.95307160000084,49.95307160000084,50.452809599999455,50.452809599999455,50.801907900000515,50.952540899997985,51.20278730000064,51.45475909999732,up,1,0.4989008999982616,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,0.3,up,c,0,25,25,1,51.502869899999496,,,,,,,,,51.455387599999085,51.502869899999496,51.96959309999875,51.96959309999875,52.46935939999821,52.46935939999821,52.76948210000046,52.96960330000002,53.16941809999844,53.37079190000077,up,1,0.39525570000114385,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Happy Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,-0.3,down,ic,0,26,26,8,53.40282529999968,,,,,,,,,53.37127789999795,53.40282529999968,53.886639500000456,53.886639500000456,54.38613379999879,54.38613379999879,54.68647720000081,54.886797499999375,55.08587439999974,55.50372829999833,down,1,0.6016095000013593,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,0.3,up,c,0,27,27,2,55.53541589999804,,,,,,,,,55.50418669999999,55.53541589999804,56.00311619999775,56.00311619999775,56.50277119999737,56.50277119999737,56.81932980000056,57.01945599999817,57.219575299997814,57.570899700000155,up,1,0.5348335999988194,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,28,28,26,57.60207739999896,,,,,,,,,57.571253300000535,57.60207739999896,58.08640630000082,58.08640630000082,58.58612689999791,58.58612689999791,58.886192399997526,59.086094300000696,59.286040999999386,59.77032010000039,down,1,0.6788851999990584,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,29,29,20,59.802037599998584,,,,,,,,,59.770705899998575,59.802037599998584,60.2863909000007,60.2863909000007,60.78605779999998,60.78605779999998,61.085949000000255,61.28614000000016,61.48638700000083,61.87034499999936,up,1,0.5758214000015869,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,0.3,up,c,0,30,30,4,61.90198120000059,,,,,,,,,61.8707957000006,61.90198120000059,62.38631299999906,62.38631299999906,62.885946700000204,62.885946700000204,63.18596120000075,63.38603249999869,63.586026900000434,63.920289599998796,up,1,0.5321425000001909,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,31,31,18,63.95196479999868,,,,,,,,,63.92066879999766,63.95196479999868,64.41960779999863,64.41960779999863,64.91930549999961,64.91930549999961,65.23628819999794,65.41941999999835,65.6360160999975,65.9205922000001,up,1,0.49502880000000005,None,,,,,4,001,2023-11-17_15h53.45.747,solo,2023.2.2,60.04091187739877,2023-11-17 15h53.59.642674 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.92099109999981,65.93601049999779,66.93604689999847,66.9200462000008,,,,,,,,
