image1,image2,pos,corr_resp,c_ic,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,key_resp_2.started,instructions.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,trial.started,fixation.started,image.started,image_2.started,image.stopped,image_2.stopped,cue.started,key_resp.started,cue.stopped,trial.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,thankyou.started,text_2.started,text_2.stopped,thankyou.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Happy Emoji [Download iPhone Emojis].png,-0.3,down,c,0,20,20,24,43.19994670000233,,,,,,,,,43.1530285000008,43.19994670000233,43.668039600001066,43.668039600001066,44.16745390000142,44.16745390000142,44.46746540000095,44.66760720000093,,44.68608519999907,down,1,0.002024000001256354,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,21,21,19,44.7501121000023,,,,,,,,,44.68692060000103,44.7501121000023,45.201254899999185,45.201254899999185,45.700525899999775,45.700525899999775,46.003811999999016,46.20048400000087,,46.235946100001456,down,0,0.027473900001496077,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Laughing Emoji [Free Download IOS Emojis].png,0.3,up,ic,0,22,22,20,46.2999376000007,,,,,,,,,46.23709339999914,46.2999376000007,46.750953099999606,46.750953099999606,47.25076489999992,47.25076489999992,47.55091919999904,47.75316480000038,47.95061910000004,47.95285890000014,up,1,0.19813360000262037,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,23,23,15,48.000450399998954,,,,,,,,,47.95382400000017,48.000450399998954,48.46799800000008,48.46799800000008,48.96746990000247,48.96746990000247,49.26717560000179,49.467260699999315,49.66783460000079,50.968897700000525,down,1,1.4862634999990405,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Happy Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,0.3,up,c,0,24,24,0,51.01735710000139,,,,,,,,,50.96993900000234,51.01735710000139,51.48447590000069,51.48447590000069,51.983957600001304,51.983957600001304,52.28414640000119,52.4839744000019,52.71744089999993,52.66939740000089,up,1,0.17137619999994058,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,0.3,up,ic,0,25,25,21,52.71744089999993,,,,,,,,,52.67039289999957,52.71744089999993,53.184384000000136,53.184384000000136,53.68408510000154,53.68408510000154,53.98383630000171,54.18411120000019,,54.35238759999993,up,1,0.15974930000083987,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Expressionless Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Smiling With Closed Eyes Emoji [Free Download IOS Emojis].png,-0.3,down,c,0,26,26,26,54.418008000000555,,,,,,,,,54.35360850000143,54.418008000000555,54.8675613000014,54.8675613000014,55.367281800001365,55.367281800001365,55.66821540000092,55.86714770000253,,55.93585030000031,down,1,0.05874760000006063,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,C:\Users\twara\Downloads\Smiling Emoji [Download IOS Smiling Emojis].png,0.3,up,ic,0,27,27,17,55.98338639999929,,,,,,,,,55.93683990000136,55.98338639999929,56.45083370000066,56.45083370000066,56.95053460000054,56.95053460000054,57.2504571999998,57.45059330000004,,57.50239800000054,up,1,0.03532869999980903,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Tears Emoji [Free Download iPhone Emojis in PNG].png,0.3,up,ic,0,28,28,23,57.55126039999959,,,,,,,,,57.50339290000193,57.55126039999959,58.0170958000017,58.0170958000017,58.51713380000001,58.51713380000001,58.81749309999941,59.017193899999256,,59.03540409999914,down,0,0.004525700001977384,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Very Happy Emoji [Free Download IOS Emojis].png,C:\Users\twara\Downloads\Worried Emoji [Free Download IOS Emojis].png,-0.3,down,ic,0,29,29,11,59.083220900000015,,,,,,,,,59.036350099999254,59.083220900000015,59.53627110000161,59.53627110000161,60.05086500000107,60.05086500000107,60.35053590000098,60.550519299998996,,60.71861290000015,down,1,0.15079890000197338,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Confused Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Happy Emoji [Download iPhone Emojis].png,0.3,up,ic,0,30,30,16,60.76622459999999,,,,,,,,,60.71939140000177,60.76622459999999,61.23360930000126,61.23360930000126,61.73371240000051,61.73371240000051,62.033223800001,62.233395300001575,,62.30124649999925,up,1,0.05547630000000936,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
C:\Users\twara\Downloads\Hugging Emoji [Download iPhone Emojis].png,C:\Users\twara\Downloads\Neutral Emoji [Free Download iPhone Emojis].png,0.3,up,c,0,31,31,5,62.35070730000007,,,,,,,,,62.30202090000239,62.35070730000007,62.81701679999969,62.81701679999969,63.316972700002225,63.316972700002225,63.61662670000078,63.81728550000116,64.01687959999981,64.0354370999994,up,1,0.21199119999801042,None,,,,,5,001,2023-11-10_19h07.06.136,solo,2023.2.2,60.04033509801768,2023-11-10 19h07.15.043635 +0530,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.03606560000117,64.05036960000143,65.05022780000218,65.03430370000206,,,,,,,,
